Lat,Long,Date
32.8994229,-79.9833594,7/23/2015 0:00
32.899431,-79.9833596,7/24/2015 0:00
32.8162654,-80.0358226,7/25/2015 0:00
32.8993811,-79.9832989,7/27/2015 0:00
32.8994224,-79.9832994,7/27/2015 1:00
32.8994091,-79.9833445,7/28/2015 0:00
32.8994162,-79.9833118,7/30/2015 0:00
32.8162771,-80.0357666,7/30/2015 1:00
32.8995503,-79.9834732,7/31/2015 0:00
32.8993728,-79.9832588,7/31/2015 1:00
32.8180135,-79.9926622,8/2/2015 0:00
32.8994175,-79.9833274,8/3/2015 0:00
32.8992742,-79.9832245,8/4/2015 0:00
32.8994091,-79.9833035,8/4/2015 1:00
32.8995296,-79.9834593,8/5/2015 0:00
36.1075181,-115.1516804,8/6/2015 0:00
36.1157581,-115.1712929,8/7/2015 0:00
36.1137017,-115.1711618,8/8/2015 0:00
36.1159985,-115.1720138,8/9/2015 0:00
36.1138193,-115.1690631,8/9/2015 1:00
41.9754692,-87.9066844,8/10/2015 0:00
32.89910897,-79.98294751,8/11/2015 0:00
32.8994658,-79.9834521,8/12/2015 0:00
32.8994131,-79.9833369,8/13/2015 0:00
32.8994287,-79.9833966,8/13/2015 1:00
32.8162147,-80.0357272,8/16/2015 0:00
32.8994062,-79.9833511,8/17/2015 0:00
32.8994254,-79.9833613,8/18/2015 0:00
32.8994232,-79.9833602,8/18/2015 1:00
32.8994015,-79.983376,8/19/2015 0:00
32.8994209,-79.9834075,8/19/2015 1:00
32.81621,-80.0357353,8/19/2015 2:00
32.8993037,-79.9832004,8/21/2015 0:00
32.8162295,-80.0357565,8/23/2015 0:00
32.8993051,-79.983183,8/24/2015 0:00
32.8992571,-79.9832047,8/24/2015 1:00
32.8992986,-79.983195,8/25/2015 0:00
32.899337,-79.9832566,8/26/2015 0:00
32.8162481,-80.0357817,8/27/2015 0:00
32.8993351,-79.9832482,8/28/2015 0:00
32.8162255,-80.0357901,8/28/2015 1:00
32.8162422,-80.0357668,8/29/2015 0:00
32.8992636,-79.983175,8/31/2015 0:00
32.8994001,-79.9832996,9/1/2015 0:00
32.8993914,-79.9833933,9/1/2015 1:00
32.8993914,-79.983377,9/2/2015 0:00
32.899269,-79.9831684,9/3/2015 0:00
32.8161981,-80.0357372,9/5/2015 0:00
32.816225,-80.0357624,9/5/2015 1:00
32.8162164,-80.035775,9/6/2015 0:00
32.7922737,-79.8814051,9/6/2015 1:00
32.8161839,-80.0357896,9/7/2015 0:00
